date,ati,quarantine,isolation,tests,confirmed,recovered,deaths
2020-06-05,152,2395,95847,484782,20103,14145,1308
2020-06-06,153,2393,95506,496408,20290,14419,1318
2020-06-07,144,2468,94475,503200,20479,14638,1326
2020-06-08,146,2113,94405,506115,20604,14826,1334
2020-06-09,152,2120,96398,511295,20749,14910,1345
2020-06-10,150,2212,99349,520564,20945,15103,1360
2020-06-11,153,2213,101455,531619,21182,15283,1369
2020-06-12,171,2030,101398,542646,21404,15445,1380
2020-06-13,171,2024,100582,552670,21679,15635,1394
2020-06-14,165,1985,97750,560596,21999,15719,1410
2020-06-15,175,1331,92734,564278,22165,15817,1427
2020-06-16,173,1407,86122,573638,22415,16071,1437
2020-06-17,161,1504,87624,585353,22760,16117,1451
2020-06-18,178,1429,86167,597696,23080,16308,1473
2020-06-19,184,1392,82236,608771,23400,16555,1484
2020-06-20,190,1335,80014,619997,23730,16735,1500
2020-06-21,195,1309,76621,626330,24045,16911,1512
2020-06-22,195,1258,71895,630374,24291,17031,1523
2020-06-23,200,1241,70768,639322,24505,17187,1539
2020-06-24,186,1186,72377,651003,24826,17391,1555
2020-06-25,199,1149,72658,663558,25286,17906,1565
2020-06-26,186,1121,73992,675382,25697,18181,1579
2020-06-27,199,1061,69472,677259,26022,18530,1589
2020-06-28,217,942,66953,694909,26313,18814,1612
2020-06-29,210,0,63788,699688,26582,18912,1634
2020-06-30,205,0,61840,710112,26970,20141,1651
2020-07-01,222,0,60363,722697,27296,20749,1667
2020-07-02,237,787,59414,735221,27746,20433,1687
2020-07-03,224,741,58991,747592,28166,20432,1708
2020-07-04,223,0,0,759037,28582,20861,1731
2020-07-05,215,0,0,766868,28973,21132,1750
2020-07-06,227,0,0,771482,29223,21413,1768
2020-07-07,231,0,0,783337,29620,21927,1799
2020-07-08,237,0,0,796484,30175,22284,1817
2020-07-09,240,0,0,809663,30789,22574,1834
2020-07-10,236,0,0,824343,31381,22812,1847
2020-07-11,239,0,0,838953,32079,23613,1871
2020-07-12,243,0,0,847586,32535,23387,1884
2020-07-13,235,0,0,854241,32948,23552,1901
2020-07-14,234,0,0,868478,33585,23798,1931
2020-07-15,248,0,0,886918,34226,24155,1952
2020-07-16,261,0,0,906015,35003,24335,1971
2020-07-17,273,0,0,925001,35802,24598,0
2020-07-18,280,0,0,943733,36691,24865,2009
2020-07-19,286,0,0,958622,37458,25042,2026
2020-07-20,293,0,0,967192,38139,25213,2038
2020-07-21,297,0,0,984396,39133,25586,2074
2020-07-22,0,0,0,1009273,40163,0,2101
2020-07-23,0,0,0,1030692,41275,0,2126
2020-07-24,0,0,0,0,0,0,0
2020-07-25,0,0,0,1087783,43678,0,2165
2020-07-26,0,0,0,1102901,44798,0,2187
2020-07-27,0,0,0,1110534,45902,0,2206
2020-07-28,0,0,0,1131699,47053,0,2239
2020-07-29,0,0,0,1154228,48235,0,2269
2020-07-30,0,0,0,1177630,49591,0,2304
2020-07-31,0,0,0,1202607,50886,0,2343
2020-08-01,0,0,0,1226058,52111,0,2379
2020-08-02,0,0,0,1240273,53186,0,2413
2020-08-03,0,0,0,1248318,54009,0,2432
2020-08-04,0,0,0,1268899,55241,0,2480
2020-08-05,0,0,0,1295222,56550,0,2521
2020-08-06,0,0,0,1319369,57895,0,2566
2020-08-07,0,0,0,1343315,59273,0,2616
2020-08-08,0,0,0,1364759,60623,0,2659
2020-08-09,0,0,0,1378727,61768,0,2700
2020-08-10,0,0,0,1385334,62547,0,2729
2020-08-11,0,0,0,1404845,63762,0,2764
2020-08-12,0,0,0,1427626,65177,0,2807
2020-08-13,0,0,0,1450269,66631,0,2860
2020-08-14,0,0,0,1478056,68046,0,2904
2020-08-15,0,0,0,1502042,69374,0,2954
2020-08-16,0,0,0,1513888,70461,0,2991
2020-08-17,0,0,0,1520750,71194,0,3029
2020-08-18,0,0,0,1542094,72208,0,3074
2020-08-19,0,0,0,1566632,73617,0,3106
2020-08-20,0,0,0,0,0,0,0
2020-08-21,0,0,0,1616378,76355,0,0
2020-08-22,0,0,0,1639370,77544,0,0
2020-08-23,0,0,0,1652644,78505,0,0
2020-08-24,0,0,0,1659135,79330,0,0
2020-08-25,0,0,0,1679614,80390,0,0
2020-08-26,0,0,0,1705368,81646,0,0
2020-08-27,0,0,0,1730420,83150,0,0
2020-08-28,0,0,0,1756920,84468,0,0
2020-08-29,0,0,0,1780963,85833,0,0
2020-08-30,0,0,0,1795633,86785,0,0
2020-08-31,0,0,0,1802946,87540,0,0
2020-09-01,0,0,0,1825272,88593,0,0
2020-09-02,0,0,0,1852088,89891,0,0
2020-09-03,0,0,0,1876063,91256,0,0
2020-09-04,0,0,0,1901240,92595,0,0
2020-09-05,0,0,0,1923620,93864,0,0
2020-09-06,0,0,0,1938491,95014,0,0
2020-09-07,0,0,0,1945738,95897,0,0
2020-09-08,0,0,0,1966290,97033,0,0
2020-09-09,0,0,0,1990587,98304,0,4018
2020-09-10,0,0,0,2015772,99684,0,4065
2020-09-11,0,0,0,2041921,101075,0,4100
2020-09-12,0,0,0,2066860,102386,0,0
2020-09-13,0,0,0,2081644,103495,0,0
2020-09-14,0,0,0,2088975,104187,0,0
2020-09-15,0,0,0,2110024,105298,0,0
2020-09-16,0,0,0,2136544,107011,0,0
2020-09-17,0,0,0,2160669,108690,0,0
2020-09-18,0,0,0,2185923,110217,0,0
2020-09-19,0,0,0,2210071,111550,0,4402
2020-09-20,0,0,0,2223462,112781,0,0
2020-09-21,0,0,0,2231402,113589,0,0
2020-09-22,0,0,0,2253380,114648,0,0
2020-09-23,0,0,0,2278125,116415,0,0
2020-09-24,0,0,0,2302828,118054,0,0
2020-09-25,0,0,0,0,0,0,0
2020-09-26,0,0,0,2352650,121235,0,0
2020-09-27,0,0,0,2366178,122673,0,4718
2020-09-28,0,0,0,2372340,123944,0,0
2020-09-29,0,0,0,2393670,125414,0,0
2020-09-30,0,0,0,0,0,0,0
2020-10-01,0,0,0,0,0,0,0
2020-10-02,0,0,0,0,0,0,0
2020-10-03,0,0,0,0,0,0,0
2020-10-04,0,0,0,2510209,135900,0,5003
2020-10-05,0,0,0,2516746,137491,0,5048
2020-10-06,0,0,0,2540222,139612,0,5121
2020-10-07,0,0,0,2568071,142570,0,5203
2020-10-08,0,0,0,2598262,145700,0,5247
2020-10-09,0,0,0,2627544,148886,0,5299
2020-10-10,0,0,0,2656828,152403,0,5358
2020-10-11,0,0,0,2672537,155283,0,5411
2020-10-12,0,0,0,2682588,157352,0,0
2020-10-13,0,0,0,2709306,160461,0,0
2020-10-14,0,0,0,2740624,164477,0,0
2020-10-15,0,0,0,2770481,168490,0,0
